School ID,Name of School,Street Address,City,State,ZIP Code,CPS Performance Policy Level,CPS Performance Policy Status,Probation Length,"My Voice, My School Overall Rating",Student Response Rate,Teacher Response Rate,Involved Family,Supportive Environment,Ambitious Instruction,Effective Leaders,Collaborative Teachers,Safe,School Community,Parent-Teacher Partnership,Quality of Facilities,Healthy Schools Certification,Creative Schools Certification,NWEA Reading Growth Percentile All Grades,NWEA Reading Growth Percentile Grade 3,NWEA Reading Growth Percentile Grade 4,NWEA Reading Growth Percentile Grade 5,NWEA Reading Growth Percentile Grade 6,NWEA Reading Growth Percentile Grade 7,NWEA Reading Growth Percentile Grade 8,NWEA Math Growth All Grades,NWEA Math Growth Grade 3,NWEA Math Growth Grade 4,NWEA Math Growth Grade 5,NWEA Math Growth Grade 6,NWEA Math Growth Grade 7,NWEA Math Growth Grade 8,NWEA Reading Attainment Percentile All Grades,NWEA Reading Attainment Percentile Grade 2,NWEA Reading Attainment Percentile Grade 3,NWEA Reading Attainment Percentile Grade 4,NWEA Reading Attainment Percentile Grade 5,NWEA Reading Attainment Percentile Grade 6,NWEA Reading Attainment Percentile Grade 7,NWEA Reading Attainment Percentile Grade 8,NWEA Math Attainment Percentile All Grades,NWEA Math Attainment Percentile Grade 2,NWEA Math Attainment Percentile Grade 3,NWEA Math Attainment Percentile Grade 4,NWEA Math Attainment Percentile Grade 5,NWEA Math Attainment Percentile Grade 6,NWEA Math Attainment Percentile Grade 7,NWEA Math Attainment Percentile Grade 8,EPAS Growth Percentile,EXPLORE Growth Percentile Grade 9,Plan Growth Percentile Grade 10,ACT Growth Percentile Grade 11,EPAS Attainment Percentile,EXPLORE Attainment Percentile Grade 9,PLAN Attainment Percentile Grade 10,Grade ACT Attainment Percentile Grade 11,EXPLORE Spring 2013 Average Grade 9,EXPLORE Spring 2013 Average Grade 10,EXPLORE Fall 2011 Average Grade 9,PLAN Fall 2012 Average Grade 10,ACT Spring 2013 Average Grade 11,Freshmen-on-Track Rate Percentage 2013,Freshmen-on-Track Rate Percentage 2012,4-Year Graduation Rate Percentage 2013,4-Year Graduation Rate Percentage 2012,5-Year Graduation Rate Percentage 2013,5-Year Graduation Rate Percentage 2012,College Enrollment Rate Percentage 2013,College Enrollment Rate Percentage 2012,College Persistence Rate Percentage 2013,College Persistence Rate Percentage 2012,Suspensions Per 100 2013,Suspensions Per 100 2012,Percentage of Misconducts Resulting in Suspension 2013,Percentage of Misconducts Resulting in Suspension 2012,Average Length of Suspensions 2013,Average Length of Suspensions 2012,Student Attendance Percentage 2013,Student Attendance Percentage 2012,Teacher Attendance Percentage 2013,Teacher Attendance Percentage 2012,Gr3-8 On-Track Percentage 2013,One-Year DropOut Rate Percentage 2013,One-Year DropOut Rate Percentage 2012,X Coordinate,Y Coordinate,Longitude,Latitude,Location,Zip Codes
610572,Camelot Safe Academy Elementary,125 S Clark St,Chicago,IL,60603,LEVEL 2,NOT ON PROBATION,-1.0,NOT ENOUGH DATA,71.6,81.5,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,68.0,8.0,42.0,17.0,22.0,19.5,15.5,14.8,15.1,13.6,15.0,16.05,83.15,-1.0,63.4,63.2,70.6,68.85,53.7,56.6,64.3,67.8,17.0,1.5,45.15,-1.0,2.9,-1.0,88.1,89.4,94.8,95.3,-1.0,3.3,4.4,1175596.702,1899641.066,41.87998851,-87.63068884,"{'latitude': '-87.63068884', 'longitude': '41.87998851'}",Not Available
400133,YCCS-Innovations of Arts Integration HS,220 W 45th Pl,Chicago,IL,60609,LEVEL 2,NOT ON PROBATION,-1.0,WELL-ORGANIZED,50.5,100.0,NEUTRAL,STRONG,STRONG,NEUTRAL,STRONG,STRONG,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,68.0,8.0,42.0,7.0,22.0,19.5,7.0,14.8,15.1,13.6,15.0,14.3,83.15,-1.0,63.4,63.2,70.6,68.85,53.7,56.6,64.3,67.8,17.0,1.5,45.15,-1.0,2.9,-1.0,74.7,89.4,94.8,95.3,-1.0,40.2,4.4,1175448.685,1874817.069,41.8118729,-87.63197673,"{'latitude': '-87.63197673', 'longitude': '41.8118729'}",Not Available
400148,Instituto Justice and Leadership Acad Charter HS,2570 S Blue Island Blvd,Chicago,IL,60608,LEVEL 2,NOT ON PROBATION,-1.0,WELL-ORGANIZED,56.0,55.6,WEAK,STRONG,STRONG,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,68.0,8.0,42.0,8.0,22.0,19.5,8.0,14.8,15.1,13.6,15.0,14.6,83.15,-1.0,63.4,63.2,70.6,68.85,53.7,56.6,64.3,67.8,17.0,1.5,45.15,-1.0,2.9,-1.0,82.9,89.4,94.8,95.3,-1.0,27.6,4.4,1161156.132,1886950.606,41.84547684,-87.68406506,"{'latitude': '-87.68406506', 'longitude': '41.84547684'}",Not Available
609761,George H Corliss High School,821 E 103rd St,Chicago,IL,60628,LEVEL 3,ON PROBATION,12.0,MODERATELY ORGANIZED,83.1,90.2,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,90.0,41.0,1.0,99.0,5.0,6.0,6.0,5.0,13.1,13.3,11.3,13.0,13.9,73.2,60.0,41.4,48.5,53.3,45.5,38.7,45.3,45.6,61.4,88.7,51.5,78.5,68.6,2.6,5.3,78.1,73.6,94.7,95.2,-1.0,2.1,7.1,1183649.971,1836810.314,41.70739096,-87.60307842,"{'latitude': '-87.60307842', 'longitude': '41.70739096'}",Not Available
609716,Kelvyn Park High School,4343 W Wrightwood Ave,Chicago,IL,60639,LEVEL 3,ON PROBATION,18.0,NOT YET ORGANIZED,66.7,82.1,WEAK,WEAK,WEAK,VERY WEAK,WEAK,WEAK,NEUTRAL,WEAK,WEAK,NOT CERTIFIED,STRONG,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,63.0,59.0,80.0,42.0,14.0,14.0,22.0,10.0,13.6,15.1,12.1,14.2,14.8,74.7,65.3,55.6,55.0,59.3,58.5,40.0,36.3,47.5,53.0,82.7,39.7,51.8,10.3,1.6,2.8,78.1,76.3,94.1,94.9,-1.0,8.0,11.8,1146795.845,1916879.493,41.92789092,-87.73600171,"{'latitude': '-87.73600171', 'longitude': '41.92789092'}",Not Available
400010,"Architecture, Construction, and Engineering(ACE) Technical Charter",5410 S State St,Chicago,IL,60609,LEVEL 2,NOT APPLICABLE,-1.0,PARTIALLY ORGANIZED,45.3,71.8,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NEUTRAL,WEAK,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0,1.0,0.0,42.0,9.0,5.0,7.0,17.0,12.8,13.4,13.2,14.1,16.3,83.15,-1.0,65.3,61.5,67.3,78.8,56.6,64.7,67.1,66.7,17.0,1.5,45.15,-1.0,2.9,-1.0,90.8,91.4,94.8,95.3,-1.0,1.9,7.3,1177156.659,1869082.035,41.79609702,-87.62588513,"{'latitude': '-87.62588513', 'longitude': '41.79609702'}",Not Available
609698,William J Bogan High School,3939 W 79th St,Chicago,IL,60652,LEVEL 2,NOT ON PROBATION,-1.0,NOT YET ORGANIZED,69.2,74.2,NEUTRAL,WEAK,WEAK,WEAK,WEAK,WEAK,WEAK,WEAK,WEAK,NOT CERTIFIED,DEVELOPING,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4.0,12.0,0.0,42.0,11.0,9.0,14.0,11.0,13.4,14.4,13.4,14.1,15.3,83.0,74.9,65.9,58.3,65.1,56.0,53.1,52.9,61.9,62.9,42.6,41.9,20.3,24.2,3.1,4.6,84.0,80.3,94.2,93.8,-1.0,0.7,0.3,1151315.548,1851847.859,41.74934817,-87.72109673,"{'latitude': '-87.72109673', 'longitude': '41.74934817'}",Not Available
610518,VOISE Academy High School,231 N Pine Ave,Chicago,IL,60644,LEVEL 3,ON PROBATION,3.0,ORGANIZED,86.3,92.3,NEUTRAL,NEUTRAL,NEUTRAL,STRONG,STRONG,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,INCOMPLETE DATA,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,24.0,1.0,21.0,7.0,8.0,7.0,8.0,13.4,13.5,12.5,14.1,14.7,83.3,77.3,47.8,64.8,70.6,68.85,51.6,56.6,64.3,67.8,160.7,81.7,58.6,57.1,2.7,3.3,79.9,82.0,95.7,95.3,-1.0,2.2,0.6,1139494.763,1901274.258,41.88520477,-87.76321191,"{'latitude': '-87.76321191', 'longitude': '41.88520477'}",Not Available
609732,Charles P Steinmetz College Preparatory HS,3030 N Mobile Ave,Chicago,IL,60634,LEVEL 2,NOT ON PROBATION,-1.0,PARTIALLY ORGANIZED,79.3,94.1,NEUTRAL,NEUTRAL,NEUTRAL,NEUTRAL,WEAK,NEUTRAL,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,HEALTHY SCHOOLS CERTIFIED,DEVELOPING,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,39.0,68.0,8.0,58.0,20.0,23.0,23.0,17.0,14.9,15.4,13.7,14.7,16.2,85.0,73.6,57.6,53.8,62.3,58.6,48.2,46.8,58.1,61.3,60.8,58.6,34.9,36.5,2.2,3.0,87.0,82.2,94.5,95.7,-1.0,0.5,8.2,1133838.348,1919613.694,41.93563171,-87.78355194,"{'latitude': '-87.78355194', 'longitude': '41.93563171'}",Not Available
400022,Chicago High School for the Arts,521 E 35th St,Chicago,IL,60616,LEVEL 2,NOT ON PROBATION,-1.0,NOT ENOUGH DATA,0.7,0.0,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT ENOUGH DATA,NOT CERTIFIED,EXCELLING,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,38.0,59.0,39.0,27.0,54.0,49.0,60.0,54.0,16.7,18.2,16.6,17.2,19.9,83.15,-1.0,81.9,63.2,70.6,68.85,53.7,56.6,64.3,67.8,17.0,8.8,73.5,77.1,2.1,3.6,94.5,96.1,94.8,95.3,-1.0,1.7,2.9,1180388.648,1881861.054,41.83109008,-87.61364086,"{'latitude': '-87.61364086', 'longitude': '41.83109008'}",Not Available
